uuid,country,city,street,type,subtype,location.x,location.y,pubMillis,fecha_subida
dc9d2b2e-b456-448b-ad59-3fc2982f07aa,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.654709,-33.445074,1739793600000,2025-04-20T06:48:14.107233
e53ac6e1-5a18-49e7-ba18-23c437d87c7b,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.66094,-33.445985,1739793600000,2025-04-20T06:48:14.107233
b3b14979-01e0-4d1c-afaa-19e0154f3002,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.662062,-33.446268,1739793600000,2025-04-20T06:48:14.107233
26568170-b346-411d-9c51-28b6f8a026d8,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.666906,-33.447521,1739793600000,2025-04-20T06:48:14.107233
1793fcd4-c4c0-4848-a0bd-66d43e606b7b,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.666892,-33.447516,1739793600000,2025-04-20T06:48:14.107233
4735449d-c63e-4948-a4e5-8d089caf462a,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.666106,-33.447299,1739793600000,2025-04-20T06:48:14.107233
0862f0a3-0916-49eb-81d4-f169a93ec73a,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.664512,-33.446894,1739793600000,2025-04-20T06:48:14.107233
0f409bcd-aba5-4e40-833b-0d4c0c384d93,CI,Santiago,Almirante Latorre,POLICE,,-70.66473,-33.449238,1745129924000,2025-04-20T06:48:14.107233
866da90e-001c-4388-a3a3-08588f0695e3,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.66036,-33.445841,1739793600000,2025-04-20T06:48:14.107233
5f4f140d-91fb-4ac7-b126-fdb859a793a9,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.666773,-33.447482,1739793600000,2025-04-20T06:48:14.107233
9917e68d-a8bf-4659-b8ca-0bc8500bec7c,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.657977,-33.445903,1739793600000,2025-04-20T06:48:14.107233
82e29c40-2f95-40fb-a4d6-ffc0eccd97a9,CI,Santiago,Salvador Sanfuentes,ROAD_CLOSED,ROAD_CLOSED_EVENT,-70.675228,-33.451759,1739455739000,2025-04-20T06:48:14.107233
b94102f5-e4b8-4abc-8927-ceaf2bc45ade,CI,Santiago,República,HAZARD,HAZARD_ON_ROAD_POT_HOLE,-70.666554,-33.456879,1745130591000,2025-04-20T06:48:14.107233
7897a722-ee52-411b-9b95-96b667e5e2ab,CI,Recoleta,Pío Nono,CHIT_CHAT,,-70.635969,-33.432526,1745130054000,2025-04-20T06:48:14.107233
fbc084d9-b805-411e-bc3e-ada295d6722e,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.653556,-33.444777,1739793600000,2025-04-20T06:48:14.107233
92f2e0e9-d50d-48bd-b7c5-84d0bea3d82a,CI,Providencia,Merced,ROAD_CLOSED,ROAD_CLOSED_EVENT,-70.634662,-33.436627,1730322008000,2025-04-20T06:48:14.107233
aa073002-5e77-4079-aeb7-ae397c602a84,CI,Providencia,General Bustamante,POLICE,,-70.631128,-33.444999,1745128244000,2025-04-20T06:48:14.107233
2de761d0-6695-4a44-8707-69d0f73c9c36,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.661591,-33.446146,1739793600000,2025-04-20T06:48:14.107233
5aceda78-85df-4153-a982-c71d97b7a51c,CI,Providencia,Ramón Carnicer,ROAD_CLOSED,ROAD_CLOSED_EVENT,-70.634222,-33.437236,1742412954000,2025-04-20T06:48:14.107233
5e7ae77b-08b2-40dc-b9be-9f2f7c67da52,CI,Providencia,General Bustamante,ROAD_CLOSED,ROAD_CLOSED_EVENT,-70.632905,-33.437467,1743596471000,2025-04-20T06:48:14.107233
01621f3c-ec87-4965-8307-09025a8d0957,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.659491,-33.446253,1739793600000,2025-04-20T06:48:14.107233
917880ae-def5-4d56-8893-3ed0f837fab0,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.663172,-33.446554,1739793600000,2025-04-20T06:48:14.107233
23b59668-d444-474d-b7ed-6457a83c2c50,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.666276,-33.447342,1739793600000,2025-04-20T06:48:14.107233
ac98182b-da28-4ef2-9f37-047c47df5382,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.653433,-33.444747,1739793600000,2025-04-20T06:48:14.107233
5491432f-69a4-4d66-9b4e-a7fcf779cfac,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.663972,-33.446756,1739793600000,2025-04-20T06:48:14.107233
4e21b4e8-e5ee-4fed-80d0-c80c220a2015,CI,Santiago,Av. Libertador Bernardo O'Higgins,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,-70.659047,-33.446154,1739793600000,2025-04-20T06:48:14.107233
f43e62ca-6f67-44ca-870f-84bf140c222f,CI,Providencia,Av. Costanera Andrés Bello,CHIT_CHAT,,-70.634631,-33.436363,1745130361000,2025-04-20T06:48:14.107233
