uuid,severity,country,length,speed,city,street,type,line.0.x,line.0.y,pubMillis,fecha_subida
1158397886,5,CI,406,2.5944444444444446,Santiago,Chacabuco,NONE,-70.679038,-33.437326,1745131529180,2025-04-20T06:48:14.107233
1158445370,5,CI,333,1.5416666666666667,Santiago,Claudio Gay,NONE,-70.668778,-33.45599,1745131601083,2025-04-20T06:48:14.107233
1158426582,5,CI,701,3.036111111111111,Santiago,Rafael Sotomayor,NONE,-70.673962,-33.433362,1745131600956,2025-04-20T06:48:14.107233
1158283202,5,CI,270,2.0416666666666665,Santiago,Vergara,NONE,-70.661449,-33.45336,1745131385534,2025-04-20T06:48:14.107233
140856638,5,CI,131,0,Santiago,Salvador Sanfuentes,NONE,-70.675228,-33.451757,1744745456871,2025-04-20T06:48:14.107233
1316626310,5,CI,54,0,Providencia,General Bustamante,NONE,-70.632905,-33.437466,1744098950611,2025-04-20T06:48:14.107233
1158095066,5,CI,326,1.9972222222222222,Santiago,Salvador Sanfuentes,NONE,-70.673381,-33.45132,1745131021477,2025-04-20T06:48:14.107233
1781290818,5,CI,23,0,Providencia,,NONE,-70.634416,-33.436673,1736849765253,2025-04-20T06:48:14.107233
154662264,5,CI,90,0,Providencia,Ramón Carnicer,NONE,-70.634222,-33.437236,1742413081480,2025-04-20T06:48:14.107233
1316572374,5,CI,62,0,Providencia,Merced,NONE,-70.634662,-33.436627,1744098951913,2025-04-20T06:48:14.107233
1146642568,5,CI,58,0,Peñalolén,Av. Los Presidentes,NONE,-70.57854,-33.480716,1745111799463,2025-04-20T06:48:16.830305
1146634600,5,CI,81,0,Peñalolén,Av. Los Presidentes,NONE,-70.576461,-33.480651,1745111799370,2025-04-20T06:48:16.830305
1146642444,5,CI,42,0,Peñalolén,Av. Los Presidentes,NONE,-70.577385,-33.480361,1745111798089,2025-04-20T06:48:16.830305
155848206,5,CI,42,0,Peñalolén,Av. Los Presidentes,NONE,-70.57696,-33.480497,1742413906850,2025-04-20T06:48:16.830305
1146585042,5,CI,62,0,Peñalolén,Av. Los Presidentes,NONE,-70.578046,-33.48041,1745111799512,2025-04-20T06:48:16.830305
229123902,5,CI,81,0,Peñalolén,Av. Los Presidentes,NONE,-70.57564,-33.480904,1744799145847,2025-04-20T06:48:16.830305
717197720,5,CI,149,0,Peñalolén,Av. Los Presidentes,NONE,-70.57564,-33.480904,1744890217956,2025-04-20T06:48:16.830305
115118500,5,CI,40,0,Ñuñoa,Exequiel Figueroa,NONE,-70.573615,-33.461725,1743604695907,2025-04-20T06:48:16.830305
155906546,5,CI,49,0,Peñalolén,Av. Los Presidentes,NONE,-70.576461,-33.480651,1742413907800,2025-04-20T06:48:16.830305
